#,CS,VBNL-N,VDD33_N,WE,ADDR[9],ADDR[8],ADDR[7],ADDR[6],ADDR[5],ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],VDD,VSS,SA
512,1,4,4,1,0,1,1,1,1,1,1,1,1,1,1.1,0,0
513,1,4,4,1,1,0,0,0,0,0,0,0,0,0,1.1,0,0
515,1,4,4,1,1,0,0,0,0,0,0,0,1,0,1.1,0,0
517,1,4,4,1,1,0,0,0,0,0,0,1,0,0,1.1,0,0
519,1,4,4,1,1,0,0,0,0,0,0,1,1,0,1.1,0,0
521,1,4,4,1,1,0,0,0,0,0,1,0,0,0,1.1,0,0
523,1,4,4,1,1,0,0,0,0,0,1,0,1,0,1.1,0,0
525,1,4,4,1,1,0,0,0,0,0,1,1,0,0,1.1,0,0
527,1,4,4,1,1,0,0,0,0,0,1,1,1,0,1.1,0,0
529,1,4,4,1,1,0,0,0,0,1,0,0,0,0,1.1,0,0
531,1,4,4,1,1,0,0,0,0,1,0,0,1,0,1.1,0,0
533,1,4,4,1,1,0,0,0,0,1,0,1,0,0,1.1,0,0
535,1,4,4,1,1,0,0,0,0,1,0,1,1,0,1.1,0,0
537,1,4,4,1,1,0,0,0,0,1,1,0,0,0,1.1,0,0
539,1,4,4,1,1,0,0,0,0,1,1,0,1,0,1.1,0,0
541,1,4,4,1,1,0,0,0,0,1,1,1,0,0,1.1,0,0
543,1,4,4,1,1,0,0,0,0,1,1,1,1,0,1.1,0,0
546,1,4,4,1,1,0,0,0,1,0,0,0,0,1,1.1,0,0
548,1,4,4,1,1,0,0,0,1,0,0,0,1,1,1.1,0,0
550,1,4,4,1,1,0,0,0,1,0,0,1,0,1,1.1,0,0
552,1,4,4,1,1,0,0,0,1,0,0,1,1,1,1.1,0,0
554,1,4,4,1,1,0,0,0,1,0,1,0,0,1,1.1,0,0
556,1,4,4,1,1,0,0,0,1,0,1,0,1,1,1.1,0,0
558,1,4,4,1,1,0,0,0,1,0,1,1,0,1,1.1,0,0
560,1,4,4,1,1,0,0,0,1,0,1,1,1,1,1.1,0,0
562,1,4,4,1,1,0,0,0,1,1,0,0,0,1,1.1,0,0
564,1,4,4,1,1,0,0,0,1,1,0,0,1,1,1.1,0,0
566,1,4,4,1,1,0,0,0,1,1,0,1,0,1,1.1,0,0
568,1,4,4,1,1,0,0,0,1,1,0,1,1,1,1.1,0,0
570,1,4,4,1,1,0,0,0,1,1,1,0,0,1,1.1,0,0
572,1,4,4,1,1,0,0,0,1,1,1,0,1,1,1.1,0,0
574,1,4,4,1,1,0,0,0,1,1,1,1,0,1,1.1,0,0
576,1,4,4,1,1,0,0,0,1,1,1,1,1,1,1.1,0,0
577,1,4,4,1,1,0,0,1,0,0,0,0,0,0,1.1,0,0
579,1,4,4,1,1,0,0,1,0,0,0,0,1,0,1.1,0,0
581,1,4,4,1,1,0,0,1,0,0,0,1,0,0,1.1,0,0
583,1,4,4,1,1,0,0,1,0,0,0,1,1,0,1.1,0,0
585,1,4,4,1,1,0,0,1,0,0,1,0,0,0,1.1,0,0
587,1,4,4,1,1,0,0,1,0,0,1,0,1,0,1.1,0,0
589,1,4,4,1,1,0,0,1,0,0,1,1,0,0,1.1,0,0
591,1,4,4,1,1,0,0,1,0,0,1,1,1,0,1.1,0,0
593,1,4,4,1,1,0,0,1,0,1,0,0,0,0,1.1,0,0
595,1,4,4,1,1,0,0,1,0,1,0,0,1,0,1.1,0,0
597,1,4,4,1,1,0,0,1,0,1,0,1,0,0,1.1,0,0
599,1,4,4,1,1,0,0,1,0,1,0,1,1,0,1.1,0,0
601,1,4,4,1,1,0,0,1,0,1,1,0,0,0,1.1,0,0
603,1,4,4,1,1,0,0,1,0,1,1,0,1,0,1.1,0,0
605,1,4,4,1,1,0,0,1,0,1,1,1,0,0,1.1,0,0
607,1,4,4,1,1,0,0,1,0,1,1,1,1,0,1.1,0,0
610,1,4,4,1,1,0,0,1,1,0,0,0,0,1,1.1,0,0
612,1,4,4,1,1,0,0,1,1,0,0,0,1,1,1.1,0,0
614,1,4,4,1,1,0,0,1,1,0,0,1,0,1,1.1,0,0
616,1,4,4,1,1,0,0,1,1,0,0,1,1,1,1.1,0,0
618,1,4,4,1,1,0,0,1,1,0,1,0,0,1,1.1,0,0
620,1,4,4,1,1,0,0,1,1,0,1,0,1,1,1.1,0,0
622,1,4,4,1,1,0,0,1,1,0,1,1,0,1,1.1,0,0
624,1,4,4,1,1,0,0,1,1,0,1,1,1,1,1.1,0,0
626,1,4,4,1,1,0,0,1,1,1,0,0,0,1,1.1,0,0
628,1,4,4,1,1,0,0,1,1,1,0,0,1,1,1.1,0,0
630,1,4,4,1,1,0,0,1,1,1,0,1,0,1,1.1,0,0
632,1,4,4,1,1,0,0,1,1,1,0,1,1,1,1.1,0,0
634,1,4,4,1,1,0,0,1,1,1,1,0,0,1,1.1,0,0
636,1,4,4,1,1,0,0,1,1,1,1,0,1,1,1.1,0,0
638,1,4,4,1,1,0,0,1,1,1,1,1,0,1,1.1,0,0
640,1,4,4,1,1,0,0,1,1,1,1,1,1,1,1.1,0,0
641,1,4,4,1,1,0,1,0,0,0,0,0,0,0,1.1,0,0
643,1,4,4,1,1,0,1,0,0,0,0,0,1,0,1.1,0,0
645,1,4,4,1,1,0,1,0,0,0,0,1,0,0,1.1,0,0
647,1,4,4,1,1,0,1,0,0,0,0,1,1,0,1.1,0,0
649,1,4,4,1,1,0,1,0,0,0,1,0,0,0,1.1,0,0
651,1,4,4,1,1,0,1,0,0,0,1,0,1,0,1.1,0,0
653,1,4,4,1,1,0,1,0,0,0,1,1,0,0,1.1,0,0
655,1,4,4,1,1,0,1,0,0,0,1,1,1,0,1.1,0,0
657,1,4,4,1,1,0,1,0,0,1,0,0,0,0,1.1,0,0
659,1,4,4,1,1,0,1,0,0,1,0,0,1,0,1.1,0,0
661,1,4,4,1,1,0,1,0,0,1,0,1,0,0,1.1,0,0
663,1,4,4,1,1,0,1,0,0,1,0,1,1,0,1.1,0,0
665,1,4,4,1,1,0,1,0,0,1,1,0,0,0,1.1,0,0
667,1,4,4,1,1,0,1,0,0,1,1,0,1,0,1.1,0,0
669,1,4,4,1,1,0,1,0,0,1,1,1,0,0,1.1,0,0
671,1,4,4,1,1,0,1,0,0,1,1,1,1,0,1.1,0,0
674,1,4,4,1,1,0,1,0,1,0,0,0,0,1,1.1,0,0
676,1,4,4,1,1,0,1,0,1,0,0,0,1,1,1.1,0,0
678,1,4,4,1,1,0,1,0,1,0,0,1,0,1,1.1,0,0
680,1,4,4,1,1,0,1,0,1,0,0,1,1,1,1.1,0,0
682,1,4,4,1,1,0,1,0,1,0,1,0,0,1,1.1,0,0
684,1,4,4,1,1,0,1,0,1,0,1,0,1,1,1.1,0,0
686,1,4,4,1,1,0,1,0,1,0,1,1,0,1,1.1,0,0
688,1,4,4,1,1,0,1,0,1,0,1,1,1,1,1.1,0,0
690,1,4,4,1,1,0,1,0,1,1,0,0,0,1,1.1,0,0
692,1,4,4,1,1,0,1,0,1,1,0,0,1,1,1.1,0,0
694,1,4,4,1,1,0,1,0,1,1,0,1,0,1,1.1,0,0
696,1,4,4,1,1,0,1,0,1,1,0,1,1,1,1.1,0,0
698,1,4,4,1,1,0,1,0,1,1,1,0,0,1,1.1,0,0
700,1,4,4,1,1,0,1,0,1,1,1,0,1,1,1.1,0,0
702,1,4,4,1,1,0,1,0,1,1,1,1,0,1,1.1,0,0
704,1,4,4,1,1,0,1,0,1,1,1,1,1,1,1.1,0,0
705,1,4,4,1,1,0,1,1,0,0,0,0,0,0,1.1,0,0
707,1,4,4,1,1,0,1,1,0,0,0,0,1,0,1.1,0,0
709,1,4,4,1,1,0,1,1,0,0,0,1,0,0,1.1,0,0
711,1,4,4,1,1,0,1,1,0,0,0,1,1,0,1.1,0,0
713,1,4,4,1,1,0,1,1,0,0,1,0,0,0,1.1,0,0
715,1,4,4,1,1,0,1,1,0,0,1,0,1,0,1.1,0,0
717,1,4,4,1,1,0,1,1,0,0,1,1,0,0,1.1,0,0
719,1,4,4,1,1,0,1,1,0,0,1,1,1,0,1.1,0,0
721,1,4,4,1,1,0,1,1,0,1,0,0,0,0,1.1,0,0
723,1,4,4,1,1,0,1,1,0,1,0,0,1,0,1.1,0,0
725,1,4,4,1,1,0,1,1,0,1,0,1,0,0,1.1,0,0
727,1,4,4,1,1,0,1,1,0,1,0,1,1,0,1.1,0,0
729,1,4,4,1,1,0,1,1,0,1,1,0,0,0,1.1,0,0
731,1,4,4,1,1,0,1,1,0,1,1,0,1,0,1.1,0,0
733,1,4,4,1,1,0,1,1,0,1,1,1,0,0,1.1,0,0
735,1,4,4,1,1,0,1,1,0,1,1,1,1,0,1.1,0,0
738,1,4,4,1,1,0,1,1,1,0,0,0,0,1,1.1,0,0
740,1,4,4,1,1,0,1,1,1,0,0,0,1,1,1.1,0,0
742,1,4,4,1,1,0,1,1,1,0,0,1,0,1,1.1,0,0
744,1,4,4,1,1,0,1,1,1,0,0,1,1,1,1.1,0,0
746,1,4,4,1,1,0,1,1,1,0,1,0,0,1,1.1,0,0
748,1,4,4,1,1,0,1,1,1,0,1,0,1,1,1.1,0,0
750,1,4,4,1,1,0,1,1,1,0,1,1,0,1,1.1,0,0
752,1,4,4,1,1,0,1,1,1,0,1,1,1,1,1.1,0,0
754,1,4,4,1,1,0,1,1,1,1,0,0,0,1,1.1,0,0
756,1,4,4,1,1,0,1,1,1,1,0,0,1,1,1.1,0,0
758,1,4,4,1,1,0,1,1,1,1,0,1,0,1,1.1,0,0
760,1,4,4,1,1,0,1,1,1,1,0,1,1,1,1.1,0,0
762,1,4,4,1,1,0,1,1,1,1,1,0,0,1,1.1,0,0
764,1,4,4,1,1,0,1,1,1,1,1,0,1,1,1.1,0,0
766,1,4,4,1,1,0,1,1,1,1,1,1,0,1,1.1,0,0
768,1,4,4,1,1,0,1,1,1,1,1,1,1,1,1.1,0,0
769,1,4,4,1,1,1,0,0,0,0,0,0,0,0,1.1,0,0
771,1,4,4,1,1,1,0,0,0,0,0,0,1,0,1.1,0,0
773,1,4,4,1,1,1,0,0,0,0,0,1,0,0,1.1,0,0
775,1,4,4,1,1,1,0,0,0,0,0,1,1,0,1.1,0,0
777,1,4,4,1,1,1,0,0,0,0,1,0,0,0,1.1,0,0
779,1,4,4,1,1,1,0,0,0,0,1,0,1,0,1.1,0,0
781,1,4,4,1,1,1,0,0,0,0,1,1,0,0,1.1,0,0
783,1,4,4,1,1,1,0,0,0,0,1,1,1,0,1.1,0,0
785,1,4,4,1,1,1,0,0,0,1,0,0,0,0,1.1,0,0
787,1,4,4,1,1,1,0,0,0,1,0,0,1,0,1.1,0,0
789,1,4,4,1,1,1,0,0,0,1,0,1,0,0,1.1,0,0
791,1,4,4,1,1,1,0,0,0,1,0,1,1,0,1.1,0,0
793,1,4,4,1,1,1,0,0,0,1,1,0,0,0,1.1,0,0
795,1,4,4,1,1,1,0,0,0,1,1,0,1,0,1.1,0,0
797,1,4,4,1,1,1,0,0,0,1,1,1,0,0,1.1,0,0
799,1,4,4,1,1,1,0,0,0,1,1,1,1,0,1.1,0,0
802,1,4,4,1,1,1,0,0,1,0,0,0,0,1,1.1,0,0
804,1,4,4,1,1,1,0,0,1,0,0,0,1,1,1.1,0,0
806,1,4,4,1,1,1,0,0,1,0,0,1,0,1,1.1,0,0
808,1,4,4,1,1,1,0,0,1,0,0,1,1,1,1.1,0,0
810,1,4,4,1,1,1,0,0,1,0,1,0,0,1,1.1,0,0
812,1,4,4,1,1,1,0,0,1,0,1,0,1,1,1.1,0,0
814,1,4,4,1,1,1,0,0,1,0,1,1,0,1,1.1,0,0
816,1,4,4,1,1,1,0,0,1,0,1,1,1,1,1.1,0,0
818,1,4,4,1,1,1,0,0,1,1,0,0,0,1,1.1,0,0
820,1,4,4,1,1,1,0,0,1,1,0,0,1,1,1.1,0,0
822,1,4,4,1,1,1,0,0,1,1,0,1,0,1,1.1,0,0
824,1,4,4,1,1,1,0,0,1,1,0,1,1,1,1.1,0,0
826,1,4,4,1,1,1,0,0,1,1,1,0,0,1,1.1,0,0
828,1,4,4,1,1,1,0,0,1,1,1,0,1,1,1.1,0,0
830,1,4,4,1,1,1,0,0,1,1,1,1,0,1,1.1,0,0
832,1,4,4,1,1,1,0,0,1,1,1,1,1,1,1.1,0,0
833,1,4,4,1,1,1,0,1,0,0,0,0,0,0,1.1,0,0
835,1,4,4,1,1,1,0,1,0,0,0,0,1,0,1.1,0,0
837,1,4,4,1,1,1,0,1,0,0,0,1,0,0,1.1,0,0
839,1,4,4,1,1,1,0,1,0,0,0,1,1,0,1.1,0,0
841,1,4,4,1,1,1,0,1,0,0,1,0,0,0,1.1,0,0
843,1,4,4,1,1,1,0,1,0,0,1,0,1,0,1.1,0,0
845,1,4,4,1,1,1,0,1,0,0,1,1,0,0,1.1,0,0
847,1,4,4,1,1,1,0,1,0,0,1,1,1,0,1.1,0,0
849,1,4,4,1,1,1,0,1,0,1,0,0,0,0,1.1,0,0
851,1,4,4,1,1,1,0,1,0,1,0,0,1,0,1.1,0,0
853,1,4,4,1,1,1,0,1,0,1,0,1,0,0,1.1,0,0
855,1,4,4,1,1,1,0,1,0,1,0,1,1,0,1.1,0,0
857,1,4,4,1,1,1,0,1,0,1,1,0,0,0,1.1,0,0
859,1,4,4,1,1,1,0,1,0,1,1,0,1,0,1.1,0,0
861,1,4,4,1,1,1,0,1,0,1,1,1,0,0,1.1,0,0
863,1,4,4,1,1,1,0,1,0,1,1,1,1,0,1.1,0,0
866,1,4,4,1,1,1,0,1,1,0,0,0,0,1,1.1,0,0
868,1,4,4,1,1,1,0,1,1,0,0,0,1,1,1.1,0,0
870,1,4,4,1,1,1,0,1,1,0,0,1,0,1,1.1,0,0
872,1,4,4,1,1,1,0,1,1,0,0,1,1,1,1.1,0,0
874,1,4,4,1,1,1,0,1,1,0,1,0,0,1,1.1,0,0
876,1,4,4,1,1,1,0,1,1,0,1,0,1,1,1.1,0,0
878,1,4,4,1,1,1,0,1,1,0,1,1,0,1,1.1,0,0
880,1,4,4,1,1,1,0,1,1,0,1,1,1,1,1.1,0,0
882,1,4,4,1,1,1,0,1,1,1,0,0,0,1,1.1,0,0
884,1,4,4,1,1,1,0,1,1,1,0,0,1,1,1.1,0,0
886,1,4,4,1,1,1,0,1,1,1,0,1,0,1,1.1,0,0
888,1,4,4,1,1,1,0,1,1,1,0,1,1,1,1.1,0,0
890,1,4,4,1,1,1,0,1,1,1,1,0,0,1,1.1,0,0
892,1,4,4,1,1,1,0,1,1,1,1,0,1,1,1.1,0,0
894,1,4,4,1,1,1,0,1,1,1,1,1,0,1,1.1,0,0
896,1,4,4,1,1,1,0,1,1,1,1,1,1,1,1.1,0,0
897,1,4,4,1,1,1,1,0,0,0,0,0,0,0,1.1,0,0
899,1,4,4,1,1,1,1,0,0,0,0,0,1,0,1.1,0,0
901,1,4,4,1,1,1,1,0,0,0,0,1,0,0,1.1,0,0
903,1,4,4,1,1,1,1,0,0,0,0,1,1,0,1.1,0,0
905,1,4,4,1,1,1,1,0,0,0,1,0,0,0,1.1,0,0
907,1,4,4,1,1,1,1,0,0,0,1,0,1,0,1.1,0,0
909,1,4,4,1,1,1,1,0,0,0,1,1,0,0,1.1,0,0
911,1,4,4,1,1,1,1,0,0,0,1,1,1,0,1.1,0,0
913,1,4,4,1,1,1,1,0,0,1,0,0,0,0,1.1,0,0
915,1,4,4,1,1,1,1,0,0,1,0,0,1,0,1.1,0,0
917,1,4,4,1,1,1,1,0,0,1,0,1,0,0,1.1,0,0
919,1,4,4,1,1,1,1,0,0,1,0,1,1,0,1.1,0,0
921,1,4,4,1,1,1,1,0,0,1,1,0,0,0,1.1,0,0
923,1,4,4,1,1,1,1,0,0,1,1,0,1,0,1.1,0,0
925,1,4,4,1,1,1,1,0,0,1,1,1,0,0,1.1,0,0
927,1,4,4,1,1,1,1,0,0,1,1,1,1,0,1.1,0,0
930,1,4,4,1,1,1,1,0,1,0,0,0,0,1,1.1,0,0
932,1,4,4,1,1,1,1,0,1,0,0,0,1,1,1.1,0,0
934,1,4,4,1,1,1,1,0,1,0,0,1,0,1,1.1,0,0
936,1,4,4,1,1,1,1,0,1,0,0,1,1,1,1.1,0,0
938,1,4,4,1,1,1,1,0,1,0,1,0,0,1,1.1,0,0
940,1,4,4,1,1,1,1,0,1,0,1,0,1,1,1.1,0,0
942,1,4,4,1,1,1,1,0,1,0,1,1,0,1,1.1,0,0
944,1,4,4,1,1,1,1,0,1,0,1,1,1,1,1.1,0,0
946,1,4,4,1,1,1,1,0,1,1,0,0,0,1,1.1,0,0
948,1,4,4,1,1,1,1,0,1,1,0,0,1,1,1.1,0,0
950,1,4,4,1,1,1,1,0,1,1,0,1,0,1,1.1,0,0
952,1,4,4,1,1,1,1,0,1,1,0,1,1,1,1.1,0,0
954,1,4,4,1,1,1,1,0,1,1,1,0,0,1,1.1,0,0
956,1,4,4,1,1,1,1,0,1,1,1,0,1,1,1.1,0,0
958,1,4,4,1,1,1,1,0,1,1,1,1,0,1,1.1,0,0
960,1,4,4,1,1,1,1,0,1,1,1,1,1,1,1.1,0,0
961,1,4,4,1,1,1,1,1,0,0,0,0,0,0,1.1,0,0
963,1,4,4,1,1,1,1,1,0,0,0,0,1,0,1.1,0,0
965,1,4,4,1,1,1,1,1,0,0,0,1,0,0,1.1,0,0
967,1,4,4,1,1,1,1,1,0,0,0,1,1,0,1.1,0,0
969,1,4,4,1,1,1,1,1,0,0,1,0,0,0,1.1,0,0
971,1,4,4,1,1,1,1,1,0,0,1,0,1,0,1.1,0,0
973,1,4,4,1,1,1,1,1,0,0,1,1,0,0,1.1,0,0
975,1,4,4,1,1,1,1,1,0,0,1,1,1,0,1.1,0,0
977,1,4,4,1,1,1,1,1,0,1,0,0,0,0,1.1,0,0
979,1,4,4,1,1,1,1,1,0,1,0,0,1,0,1.1,0,0
981,1,4,4,1,1,1,1,1,0,1,0,1,0,0,1.1,0,0
983,1,4,4,1,1,1,1,1,0,1,0,1,1,0,1.1,0,0
985,1,4,4,1,1,1,1,1,0,1,1,0,0,0,1.1,0,0
987,1,4,4,1,1,1,1,1,0,1,1,0,1,0,1.1,0,0
989,1,4,4,1,1,1,1,1,0,1,1,1,0,0,1.1,0,0
991,1,4,4,1,1,1,1,1,0,1,1,1,1,0,1.1,0,0
994,1,4,4,1,1,1,1,1,1,0,0,0,0,1,1.1,0,0
996,1,4,4,1,1,1,1,1,1,0,0,0,1,1,1.1,0,0
998,1,4,4,1,1,1,1,1,1,0,0,1,0,1,1.1,0,0
1000,1,4,4,1,1,1,1,1,1,0,0,1,1,1,1.1,0,0
1002,1,4,4,1,1,1,1,1,1,0,1,0,0,1,1.1,0,0
1004,1,4,4,1,1,1,1,1,1,0,1,0,1,1,1.1,0,0
1006,1,4,4,1,1,1,1,1,1,0,1,1,0,1,1.1,0,0
1008,1,4,4,1,1,1,1,1,1,0,1,1,1,1,1.1,0,0
1010,1,4,4,1,1,1,1,1,1,1,0,0,0,1,1.1,0,0
1012,1,4,4,1,1,1,1,1,1,1,0,0,1,1,1.1,0,0
1014,1,4,4,1,1,1,1,1,1,1,0,1,0,1,1.1,0,0
1016,1,4,4,1,1,1,1,1,1,1,0,1,1,1,1.1,0,0
1018,1,4,4,1,1,1,1,1,1,1,1,0,0,1,1.1,0,0
1020,1,4,4,1,1,1,1,1,1,1,1,0,1,1,1.1,0,0
1022,1,4,4,1,1,1,1,1,1,1,1,1,0,1,1.1,0,0
1024,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1.1,0,0
